case_type,SK_ID_CURR,TARGET,risk_score,threshold,feature,feature_value,value_status,shap_value,contribution_direction,contribution_rank
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,EXT_SOURCE_2,1.1793951733999552e-05,actual_value,0.9184712767601013,positive_risk_driver,1
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,EXT_SOURCE_3,0.0371194125972502,actual_value,0.858203649520874,positive_risk_driver,2
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,total_overdue_amount,131728.5,actual_value,0.36571168899536133,positive_risk_driver,3
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,n_active_bureau_credits,9.0,actual_value,0.2517246603965759,positive_risk_driver,4
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,credit_goods_ratio,1.2112,actual_value,0.16467811167240143,positive_risk_driver,5
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,EXT_SOURCE_1,-999.0,sentinel_missing,0.12575750052928925,positive_risk_driver,6
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,AMT_GOODS_PRICE,450000.0,actual_value,0.08909957110881805,positive_risk_driver,7
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,credit_annuity_ratio,19.59553470312247,actual_value,0.08384080231189728,positive_risk_driver,8
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,bureau_debt_credit_ratio,0.3197038327869822,actual_value,-0.0927119255065918,negative_risk_driver,1
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,prev_refusal_rate,-999.0,sentinel_missing,-0.06254549324512482,negative_risk_driver,2
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,DAYS_BIRTH,-8418.0,actual_value,-0.062294311821460724,negative_risk_driver,3
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,FLAG_WORK_PHONE,0.0,actual_value,-0.025316540151834488,negative_risk_driver,4
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,max_credit_prev,-999.0,sentinel_missing,-0.018910525366663933,negative_risk_driver,5
high_risk_true_default,156227.0,1.0,0.7004296183586121,0.15,DEF_30_CNT_SOCIAL_CIRCLE,0.0,actual_value,-0.015313617885112762,negative_risk_driver,6
